2026-09-07T15:05:28Z
  PID  PPID     ELAPSED  %CPU COMM
74442 74336    01:21:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75256 62829       00:09  98.5 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:20:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:08:29   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:07:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:06:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:06:00   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:05:35   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:04:32   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:06:28Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:08:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:01:58   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:01:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    02:59:58   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    02:59:51   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       30:04   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       28:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       11:55   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:29:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:29:39   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:28:36   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:44:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:15:30   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       05:24   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:05:29   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:22:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75363 62829       00:10  98.1 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:20:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:08:44   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:07:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:06:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:06:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:05:50   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:04:47   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:06:43Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:08:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:02:13   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:01:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    03:00:13   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    03:00:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       30:19   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       29:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       12:10   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:29:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:29:54   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:28:51   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:44:30   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:15:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       05:39   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:05:44   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:22:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75421 62829       00:12  98.6 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:20:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:08:59   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:07:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:07:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:06:30   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:06:05   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:05:02   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:06:58Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:08:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:02:28   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:02:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    03:00:28   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    03:00:21   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       30:34   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       29:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       12:25   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:30:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:30:09   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:29:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:44:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:16:00   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       05:54   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:05:59   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:22:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75479 62829       00:13  12.0 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:20:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:09:14   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:07:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:07:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:06:45   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:06:20   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:05:17   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:07:13Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:09:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:02:43   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:02:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    03:00:43   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    03:00:36   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       30:49   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       29:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       12:40   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:30:26   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:30:24   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:29:21   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:45:00   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:16:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       06:09   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:06:14   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:22:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75782 62829       00:01  99.1 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:21:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:09:29   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:08:01   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:07:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:07:00   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:06:35   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:05:32   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:07:28Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:09:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:02:58   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:02:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    03:00:58   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    03:00:51   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       31:04   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22666 22623       29:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
52370 52332       12:55   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56637 56603    01:30:41   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
56700 56681    01:30:39   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57572 57472    01:29:36   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
57640 57638    02:45:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
61559 61502    05:16:30   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
62829 60030       06:24   0.0 /Users/dave/.codex/worktrees/653a/dataflowbench/target/debug/dataflowbench
72623 72583    05:06:29   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
74442 74336    01:23:11   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
75822 62829       00:03  99.3 /Users/dave/.cache/dataflowbench-tools/bifrost-v0.11.0/bifrost-v0.11.0-universal-apple-darwin/bifrost
78684 78564    01:21:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93457 93354    01:09:44   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
93953 93840    01:08:16   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94445 94351    01:07:46   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
94912 94820    01:07:15   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
95617 95539    01:06:50   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
96648 96406    01:05:47   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
2026-09-07T15:07:43Z
  PID  PPID     ELAPSED  %CPU COMM
 3416  3393    08:09:31   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8146  8056    03:03:13   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
 8801  8720    03:02:56   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10088 10011    03:01:13   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
10508 10399    03:01:06   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
22175 22156       31:19   0.0 /Users/dave/Library/Caches/bifrost-agent/binaries/0.11.0/darwin-arm64/bifrost
